employee_id,score,Leadership,Communication Skills,Self-Motivation,Problem-Solving Skills,Technical Proficiency,Emotional Intelligence,Creativity,Teamwork,Decision-Making,date
1,76,3,4,5,3,4,5,3,4,5,2023-01-31
1,73,3,4,5,3,4,5,3,4,5,2023-02-28
1,80,3,4,5,3,4,5,3,4,5,2023-03-31
1,77,3,4,5,3,4,5,3,4,5,2023-04-30
1,74,3,4,5,3,4,5,3,4,5,2023-05-31
1,76,3,4,5,3,4,5,3,4,5,2023-06-30
1,79,3,4,5,3,4,5,3,4,5,2023-07-31
1,72,3,4,5,3,4,5,3,4,5,2023-08-31
1,76,3,4,5,3,4,5,3,4,5,2023-09-30
1,80,3,4,5,3,4,5,3,4,5,2023-10-31
1,80,3,4,5,3,4,5,3,4,5,2023-11-30
1,77,3,4,5,3,4,5,3,4,5,2023-12-31
2,79,4,3,4,4,3,4,4,3,4,2023-01-31
2,78,4,3,4,4,3,4,4,3,4,2023-02-28
2,82,4,3,4,4,3,4,4,3,4,2023-03-31
2,82,4,3,4,4,3,4,4,3,4,2023-04-30
2,77,4,3,4,4,3,4,4,3,4,2023-05-31
2,80,4,3,4,4,3,4,4,3,4,2023-06-30
2,79,4,3,4,4,3,4,4,3,4,2023-07-31
2,76,4,3,4,4,3,4,4,3,4,2023-08-31
2,82,4,3,4,4,3,4,4,3,4,2023-09-30
2,80,4,3,4,4,3,4,4,3,4,2023-10-31
2,76,4,3,4,4,3,4,4,3,4,2023-11-30
2,79,4,3,4,4,3,4,4,3,4,2023-12-31
3,80,5,4,3,5,4,3,5,4,3,2023-01-31
3,89,5,4,3,5,4,3,5,4,3,2023-02-28
3,85,5,4,3,5,4,3,5,4,3,2023-03-31
3,88,5,4,3,5,4,3,5,4,3,2023-04-30
3,80,5,4,3,5,4,3,5,4,3,2023-05-31
3,90,5,4,3,5,4,3,5,4,3,2023-06-30
3,90,5,4,3,5,4,3,5,4,3,2023-07-31
3,89,5,4,3,5,4,3,5,4,3,2023-08-31
3,82,5,4,3,5,4,3,5,4,3,2023-09-30
3,86,5,4,3,5,4,3,5,4,3,2023-10-31
3,83,5,4,3,5,4,3,5,4,3,2023-11-30
3,88,5,4,3,5,4,3,5,4,3,2023-12-31
